FullPath,FamilyName,FileHashes
C:\Windows\PSEXESVC.exe,Medusa,"{""md5"":""046d8658c6ca9df9f9a8143aeb85a559"",""sha1"":""51d3d661774cc50bb22e62beafc4bc6029df2392"",""sha256"":""1409e010675bf4a40db0a845b60db3aae5b302834e80adeec884aebc55eccbf7""}"
C:\users\user\Desktop\LaZagne.exe,Medusa,"{""md5"":""282df7bcb720a5b6f409caf9ccda2f75"",""sha1"":""0e62d10ff194e84ed8c6bd71620f56ef9e557072"",""sha256"":""3cc5ee93a9ba1fc57389705283b760c8bd61f35e9398bbfa3210e2becf6d4b05""}"
C:\users\user\Desktop\mimikatz_trunk\x64\mimikatz.exe,Medusa,"{""md5"":""29efd64dd3c7fe1e2b022b7ad73a1ba5"",""sha1"":""e3b6ea8c46fa831cec6f235a5cf48b38a4ae8d69"",""sha256"":""61c0810a23580cf492a6ba4f7654566108331e7a4134c968c2d6a05261b2d8a1""}"
C:\users\user\Downloads\PSTools.zip,Medusa,"{""md5"":""41ebdadc06b18164dc571f9db251c01b"",""sha1"":""ddfb009f8b92226aa45c467f8d0eebb29a8e2ff5"",""sha256"":""a9ca77dfe03ce15004157727bb43ba66f00ceb215362c9b3d199f000edaa8d61""}"
C:\users\user\Desktop\mimikatz_trunk\x64\mimilib.dll,Medusa,"{""md5"":""67651e9d2da634adedbe216948d5f752"",""sha1"":""0731bd320633a6d1ca7835e2bba2c5ee5429b293"",""sha256"":""aef6ce3014add838cf676b57957d630cd2bb15b0c9193cf349bcffecddbc3623""}"
C:\users\user\Desktop\Advanced_Port_Scanner_2.5.3869.exe,Medusa,"{""md5"":""6a58b52b184715583cda792b56a0a1ed"",""sha1"":""3477a173e2c1005a81d042802ab0f22cc12a4d55"",""sha256"":""d0c1662ce239e4d288048c0e3324ec52962f6ddda77da0cb7af9c1d9c2f1e2eb""}"
C:\Windows\2g4n.exe,Medusa,"{""md5"":""875d2501b841134ce3b91d3cd4f90438"",""sha1"":""7e0465da71c67a4151b731e7a26715a9629b95a4"",""sha256"":""1902193e23ead051c42809a7368142d2485eac07949612d206a1324fcd41b4be""}"
C:\users\user\Desktop\mimikatz_trunk\x64\log.log,Medusa,"{""md5"":""a3498123f419632d0cb24c9728bbf27e"",""sha1"":""10373768326b2ecd51115131a3fc83cf685cf448"",""sha256"":""7b9dfaf95b3fd3585eef108697b78ac58f905bfd0bbd8d57fca43ffb9bea5ca7""}"
C:\Windows\42t5hs.exe,Medusa,"{""md5"":""a72feaaf253e1aca98ee8037c6ffb564"",""sha1"":""523f4823167a42554331ea48d0489f0c58ba318e"",""sha256"":""138e7988bb7c7138c93e87141a4bca3f94d1017a5bd316c210c6659337153dbc""}"
C:\users\user\Desktop\mimikatz_trunk\Win32\mimilove.exe,Medusa,"{""md5"":""c67f3497c310c01018f599b3eebae99e"",""sha1"":""d73e52e55b1ad65015886b3a01b1cc27c87e9952"",""sha256"":""cc585d962904351ce1d92195b0fc79034dc3b13144f7c7ff24cd9f768b25e9ef""}"
C:\users\user\Desktop\mimikatz_trunk\x64\mimispool.dll,Medusa,"{""md5"":""c6cc0def7d584f431d69126c1cc33a20"",""sha1"":""ea2646a646662909cd2bf5443e6b0030fb3cc6eb"",""sha256"":""66928c3316a12091995198710e0c537430dacefac1dbe78f12a331e1520142bd""}"
C:\users\user\Desktop\mimikatz_trunk.zip,Medusa,"{""md5"":""d2d3e1f8023b12fb89e400c7e8ecd7db"",""sha1"":""4112ef95386ea4d1131be7c600d49a310e9d8f5b"",""sha256"":""7accd179e8a6b2fc907e7e8d087c52a7f48084852724b03d25bebcada1acbca5""}"
C:\users\user\Desktop\mimikatz_trunk\Win32\mimikatz.exe,Medusa,"{""md5"":""d3b17ddf0b98fd2441ed46b033043456"",""sha1"":""93ed68c7e5096d936115854954135d110648e739"",""sha256"":""94795fd89366e01bd6ce6471ff27c3782e2e16377a848426cf0b2e6baee9449b""}"
C:\users\user\Desktop\mimikatz_trunk\Win32\mimispool.dll,Medusa,"{""md5"":""dab7a18b02399053ba3ff1e568789fce"",""sha1"":""ceee090c9ee8279d6410d8d450d55acb81d34766"",""sha256"":""05842de51ede327c0f55df963f6de4e32ab88f43a73b9e0e1d827bc70199eff0""}"
C:\Windows\temp\tBxYe.sys,Medusa,"{""md5"":""e34bbe2b21fe3382b04676c28740fa22"",""sha1"":""d95ceff32e2870dc70ffccf0893a4f6e5465b6fb"",""sha256"":""d00f6b348f952059e8867c793fd7075ef6b2dcdeb2be546f898c0191087405e5""}"
C:\users\user\Downloads\URBrowser.exe,Medusa,"{""md5"":""e9dc31112b73a51020faffa4564c22bf"",""sha1"":""59021467fb7a1a46f2c0ea876a2da27ffd9f185b"",""sha256"":""31df4522ca2134f83c0315babc176dddf10f392a9a95194f066627f7f0d97ce8""}"
C:\users\user\Desktop\SysinternalsSuite (1)\procdump64.exe,Nebula,"{""md5"":""68a1f7c796de1d0df6b2d78e182df3a0"",""sha1"":""43e3521e0403636150ac0c6c4da6a536f0ab504f"",""sha256"":""5b165b01f9a1395cae79e0f85b7a1c10dc089340cf4e7be48813ac2f8686ed61""}"
C:\users\user\Downloads\winrar-x64-701.exe,Play Ransomware,"{""md5"":""46c17c999744470b689331f41eab7df1"",""sha1"":""b8a63127df6a87d333061c622220d6d70ed80f7c"",""sha256"":""c5b5def1c8882b702b6b25cbd94461c737bc151366d2d9eba5006c04886bfc9a""}"
C:\Windows\svchost.com,RansomHub,"{""md5"":""061a4f9e01a447ec24b2d6ffe1b93272"",""sha1"":""14556aeb9fdbea4bab3f4658af577804af599d82"",""sha256"":""9c9075631e41a0826113cf5db42fcb787fce959b123ba79ceaf1ea46d553c91b""}"
